,level,subject,gender,year,value_perc,category
462,Advanced,Spanish ,Women,2019,54.7,Languages
463,Advanced,Italian ,Women,2019,71.1,Languages
464,Advanced,Civics,Women,2019,25.1,Humanistic
465,Advanced,Geography,Women,2019,28.4,Sciences
466,Advanced,Biology,Women,2019,32.7,Sciences
467,Advanced,Chemistry,Women,2019,38.9,Sciences
468,Advanced,History,Women,2019,34.7,Humanistic
469,Advanced,Physics,Women,2019,44.0,Sciences
470,Advanced,History of music,Women,2019,49.7,Humanistic
471,Advanced,History of art,Women,2019,50.1,Humanistic
472,Advanced,Philosophy,Women,2019,37.5,Humanistic
473,Advanced,Latin and ancient culture,Women,2019,60.0,Languages
474,Advanced,Informatics,Women,2019,38.8,Sciences
475,Advanced,Kashubian,Women,2019,51.1,Languages
476,Advanced,Lemko ,Women,2019,92.5,Languages
477,Advanced,Polish ,Men,2019,51.6,Humanistic
478,Advanced,Belarusian,Men,2019,100.0,Languages
479,Advanced,Lithuanian ,Men,2019,87.0,Languages
480,Advanced,Ukrainian ,Men,2019,60.3,Languages
481,Advanced,Maths,Men,2019,36.2,Sciences
482,Advanced,English,Men,2019,56.5,Languages
483,Advanced,German,Men,2019,56.8,Languages
484,Advanced,French,Men,2019,65.7,Languages
485,Advanced,Russian,Men,2019,63.5,Languages
486,Advanced,Spanish ,Men,2019,50.9,Languages
487,Advanced,Italian ,Men,2019,70.8,Languages
488,Advanced,Civics,Men,2019,29.3,Humanistic
489,Advanced,Geography,Men,2019,29.3,Sciences
490,Advanced,Biology,Men,2019,34.8,Sciences
491,Advanced,Chemistry,Men,2019,44.0,Sciences
492,Advanced,History,Men,2019,38.7,Humanistic
493,Advanced,Physics,Men,2019,41.9,Sciences
494,Advanced,History of music,Men,2019,40.4,Humanistic
495,Advanced,History of art,Men,2019,41.1,Humanistic
496,Advanced,Philosophy,Men,2019,35.8,Humanistic
497,Advanced,Latin and ancient culture,Men,2019,61.7,Languages
498,Advanced,Informatics,Men,2019,36.3,Sciences
499,Advanced,Kashubian,Men,2019,30.5,Languages
500,Advanced,Lemko ,Men,2019,78.0,Languages
501,Advanced,Polish ,Altogether,2019,55.3,Humanistic
502,Advanced,Belarusian,Altogether,2019,100.0,Languages
503,Advanced,Lithuanian ,Altogether,2019,89.9,Languages
504,Advanced,Ukrainian ,Altogether,2019,78.9,Languages
505,Advanced,Maths,Altogether,2019,38.6,Sciences
506,Advanced,English,Altogether,2019,56.2,Languages
507,Advanced,German,Altogether,2019,56.1,Languages
508,Advanced,French,Altogether,2019,66.4,Languages
509,Advanced,Russian,Altogether,2019,62.4,Languages
510,Advanced,Spanish ,Altogether,2019,53.8,Languages
511,Advanced,Italian ,Altogether,2019,71.0,Languages
512,Advanced,Civics,Altogether,2019,26.8,Humanistic
513,Advanced,Geography,Altogether,2019,28.8,Sciences
514,Advanced,Biology,Altogether,2019,33.2,Sciences
515,Advanced,Chemistry,Altogether,2019,40.2,Sciences
